,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
306,2024-04-29,Fair,74,9.0,67,0.088044485634847
307,2024-04-28,Fair,78,71.0,67,0.081025641025641
308,2024-04-27,Fair,74,85.0,64,0.0819512195121951
309,2024-04-26,Fair,74,102.0,64,0.0760534429599177
310,2024-04-25,Fair,74,58.0,64,0.068880688806888
311,2024-04-24,Fair,70,98.0,65,0.0737618545837724
312,2024-04-23,Fair,70,72.0,65,0.0777142857142857
313,2024-04-22,Fair,77,63.0,65,0.094175960346964
314,2024-04-21,Good,85,71.0,64,0.0851624231782265
315,2024-04-20,Good,83,78.0,67,0.0830945558739255
316,2024-04-19,Fair,78,69.0,68,0.1011787819253438
317,2024-04-18,Fair,78,50.0,71,0.0843091334894613
318,2024-04-17,Fair,77,35.0,73,0.081967213114754
319,2024-04-16,Fair,71,52.0,71,0.09167671893848
320,2024-04-15,Fair,76,91.0,69,0.0624327233584499
321,2024-04-14,Poor,43,10.0,67,0.1070559610705596
322,2024-04-13,Poor,54,15.0,66,0.2133333333333333
323,2024-04-12,Fair,71,42.0,65,0.0698924731182795
324,2024-04-11,Fair,69,25.0,64,0.0557103064066852
325,2024-04-10,Fair,79,70.0,63,0.0812013348164627
326,2024-04-09,Fair,78,76.0,63,0.089430894308943
327,2024-04-08,Fair,72,46.0,63,0.0891330891330891
328,2024-04-06,Fair,76,81.0,64,0.1029940119760479
329,2024-04-05,Fair,75,19.0,66,0.1098591549295774
330,2024-04-04,Good,81,37.0,67,0.0501882057716436
331,2024-04-03,Fair,73,74.0,65,0.0852272727272727
332,2024-04-02,Fair,64,19.0,66,0.0677966101694915
333,2024-04-01,Fair,61,36.0,64,0.1111111111111111
334,2024-03-31,Good,83,65.0,62,0.0550996483001172
335,2024-03-30,Fair,70,60.0,62,0.06656346749226
336,2024-03-29,Fair,79,60.0,62,0.0593325092707045
337,2024-03-28,Fair,78,109.0,64,0.0954935622317596
338,2024-03-27,Fair,70,83.0,63,0.0917537746806039
339,2024-03-26,Fair,72,75.0,64,0.0852713178294573
340,2024-03-25,Fair,79,60.0,62,0.0980392156862745
341,2024-03-24,Good,81,123.0,62,0.0966183574879227
342,2024-03-23,Fair,73,54.0,62,0.0984204131227217
343,2024-03-21,Poor,55,59.0,62,0.1833137485311398
344,2024-03-20,Fair,73,60.0,61,0.1104847801578354
345,2024-03-19,Fair,60,40.0,59,0.0783242258652094
346,2024-03-18,Fair,73,59.0,60,0.0937950937950937
347,2024-03-17,Good,80,65.0,61,0.1031344792719919
348,2024-03-15,Fair,77,72.0,65,0.1210428305400372
349,2024-03-14,Good,87,108.0,67,0.0661278471711976
350,2024-03-11,Fair,74,44.0,65,0.0876803551609323
351,2024-03-10,Good,81,70.0,63,0.0720973782771535
352,2024-03-09,Fair,62,43.0,62,0.1137440758293838
353,2024-03-08,Fair,75,70.0,61,0.0914742451154529
354,2024-03-07,Fair,75,81.0,62,0.0968783638320775
355,2024-03-06,Fair,76,82.0,63,0.0866590649942987
356,2024-03-05,Fair,78,72.0,62,0.1038961038961039
357,2024-03-04,Fair,70,57.0,62,0.0970556161395856
358,2024-03-03,Fair,79,63.0,62,0.0971943887775551
359,2024-03-02,Fair,60,18.0,61,0.1619537275064267
360,2024-02-29,Fair,70,44.0,60,0.093491124260355
361,2024-02-27,Fair,70,74.0,63,0.1212484993997599
362,2024-02-26,Fair,74,78.0,64,0.0958904109589041
363,2024-02-25,Fair,79,56.0,65,0.0912738214643931
364,2024-02-23,Fair,69,103.0,64,0.0970231532524807
365,2024-02-22,Fair,72,50.0,64,0.1165279429250891
